# ell    tt_lensed   ee_lensed   bb_lensed   te_lensed   tt_unlensed ee_unlensed bb_unlensed te_unlensed kk
162 4.713869e+03 9.549690e-01 7.738415e-03 -4.286726e+01 1.121749e+00 2.254356e-04 0.000000e+00 -1.023776e-02 1.109400e+01
163 4.743013e+03 9.460241e-01 7.844683e-03 -4.256913e+01 1.114945e+00 2.205371e-04 0.000000e+00 -1.004340e-02 1.130340e+01
164 4.771827e+03 9.368441e-01 7.951861e-03 -4.224452e+01 1.108146e+00 2.156848e-04 0.000000e+00 -9.846841e-03 1.151522e+01
165 4.800310e+03 9.274516e-01 8.059947e-03 -4.189314e+01 1.101354e+00 2.108832e-04 0.000000e+00 -9.648128e-03 1.172946e+01
166 4.828445e+03 9.178694e-01 8.168940e-03 -4.151494e+01 1.094567e+00 2.061368e-04 0.000000e+00 -9.447370e-03 1.194613e+01
167 4.856226e+03 9.081199e-01 8.278837e-03 -4.110978e+01 1.087783e+00 2.014496e-04 0.000000e+00 -9.244653e-03 1.216525e+01
168 4.883646e+03 8.982258e-01 8.389638e-03 -4.067776e+01 1.081004e+00 1.968255e-04 0.000000e+00 -9.040110e-03 1.238683e+01
169 4.910698e+03 8.882096e-01 8.501339e-03 -4.021877e+01 1.074228e+00 1.922682e-04 0.000000e+00 -8.833820e-03 1.261088e+01
170 4.937376e+03 8.780865e-01 8.613939e-03 -3.973274e+01 1.067456e+00 1.877796e-04 0.000000e+00 -8.625875e-03 1.283741e+01
171 4.963664e+03 8.678864e-01 8.727434e-03 -3.921964e+01 1.060685e+00 1.833645e-04 0.000000e+00 -8.416363e-03 1.306643e+01
172 4.989571e+03 8.576319e-01 8.841823e-03 -3.867949e+01 1.053919e+00 1.790261e-04 0.000000e+00 -8.205386e-03 1.329796e+01
173 5.015075e+03 8.473456e-01 8.957102e-03 -3.811224e+01 1.047155e+00 1.747674e-04 0.000000e+00 -7.993024e-03 1.353201e+01
174 5.040169e+03 8.370499e-01 9.073268e-03 -3.751791e+01 1.040391e+00 1.705910e-04 0.000000e+00 -7.779371e-03 1.376859e+01
175 5.064853e+03 8.267822e-01 9.190319e-03 -3.689667e+01 1.033630e+00 1.665027e-04 0.000000e+00 -7.564547e-03 1.400772e+01
176 5.089114e+03 8.165578e-01 9.308251e-03 -3.624849e+01 1.026870e+00 1.625033e-04 0.000000e+00 -7.348621e-03 1.424940e+01
177 5.112944e+03 8.064138e-01 9.427061e-03 -3.557338e+01 1.020110e+00 1.585980e-04 0.000000e+00 -7.131678e-03 1.449366e+01
178 5.136330e+03 7.963729e-01 9.546744e-03 -3.487144e+01 1.013349e+00 1.547889e-04 0.000000e+00 -6.913809e-03 1.474050e+01
